iter	Passed	Remaining
379	6487	10585
380	6505	10568
381	6521	10550
382	6534	10527
383	6555	10515
384	6570	10495
385	6581	10469
386	6596	10449
387	6619	10440
388	6635	10423
389	6657	10412
390	6674	10395
391	6689	10375
392	6706	10357
393	6725	10343
394	6743	10329
395	6767	10321
396	6786	10307
397	6804	10291
398	6821	10274
399	6840	10260
400	6870	10263
401	6894	10256
402	6916	10246
403	6935	10231
404	6954	10217
405	6974	10203
406	6993	10190
407	7009	10171
408	7029	10156
409	7055	10153
410	7080	10146
411	7102	10136
412	7135	10141
413	7175	10156
414	7222	10181
415	7292	10237
416	7366	10299
417	7453	10377
418	7550	10470
419	7667	10588
420	7754	10664
421	7817	10707
422	7905	10782
423	8003	10872
424	8271	11191
425	8395	11312
426	8476	11374
427	8601	11495
428	8649	11512
429	8695	11527
430	8735	11531
431	8770	11531
432	8805	11530
433	8875	11575
434	8977	11660
435	9021	11669
436	9064	11678
437	9095	11671
438	9134	11672
439	9173	11675
440	9268	11748
441	9331	11780
442	9372	11784
443	9423	11800
444	9462	11801
445	9502	11803
446	9529	11789
447	9569	11791
448	9599	11779
449	9633	11774
450	10304	12543
451	10559	12802
452	10644	12852
453	10707	12877
454	10755	12883
455	10783	12863
456	10848	12890
457	10910	12912
458	10964	12922
459	11007	12921
460	11041	12909
461	11074	12896
462	11127	12906
463	11175	12909
464	11258	12953
465	11290	12937
466	11329	12930
467	11377	12933
468	11425	12935
469	11475	12940
470	11510	12927
471	11543	12912
472	11571	12892
473	11595	12867
474	11626	12850
475	11675	12852
476	11740	12872
477	11787	12872
478	11811	12846
479	11839	12826
480	11860	12797
481	11890	12778
482	11918	12757
483	11939	12728
484	11961	12701
485	11993	12684
486	12068	12712
487	12091	12686
488	12109	12654
489	12127	12622
490	12147	12593
491	12164	12559
492	12180	12525
493	12199	12495
494	12217	12464
495	12238	12436
496	12259	12407
497	12276	12375
498	12294	12343
499	12316	12316
500	12335	12286
501	12355	12256
502	12373	12225
503	12391	12194
504	12414	12168
505	12433	12138
506	12453	12109
507	12471	12078
508	12489	12048
509	12512	12021
510	12533	11993
511	12552	11964
512	12576	11938
513	12598	11912
514	12620	11884
515	12638	11855
516	12660	11828
517	12678	11797
518	12697	11768
519	12717	11738
520	12742	11715
521	12761	11685
522	12779	11655
523	12799	11626
524	12817	11597
525	12841	11572
526	12858	11541
527	12876	11510
528	12899	11485
529	12918	11455
530	12937	11426
531	12960	11401
532	12980	11373
533	13000	11344
534	13018	11314
535	13037	11285
536	13055	11256
537	13073	11226
538	13095	11200
539	13126	11181
540	13152	11159
541	13173	11131
542	13194	11105
543	13217	11079
544	13239	11053
545	13262	11028
546	13289	11006
547	13320	10986
548	13338	10957
549	13360	10931
550	13394	10915
551	13429	10899
552	13457	10878
553	13490	10860
554	13537	10854
555	13571	10837
556	13645	10853
557	13704	10855
558	13740	10840
559	13773	10821
560	13803	10801
561	13827	10776
562	13855	10754
563	13883	10732
564	13909	10709
565	13937	10687
566	13964	10664
567	14008	10654
568	14040	10635
569	14065	10611
570	14078	10577
571	14096	10547
572	14118	10521
573	14135	10490
574	14150	10459
575	14167	10428
576	14182	10397
577	14198	10366
578	14212	10333
579	14228	10303
580	14242	10271
581	14258	10240
582	14273	10209
583	14288	10177
584	14303	10146
585	14320	10117
586	14340	10089
587	14358	10060
588	14398	10047
589	14441	10035
590	14469	10013
591	14488	9985
592	14521	9966
593	14545	9942
594	14570	9917
595	14590	9890
596	14607	9860
597	14624	9830
598	14655	9811
599	14674	9782
600	14686	9750
601	14701	9719
602	14717	9689
603	14735	9661
604	14759	9636
605	14777	9607
606	14798	9580
607	14821	9556
608	14880	9553
609	14935	9548
610	15019	9562
611	15088	9565
612	15116	9543
613	15135	9515
614	15164	9493
615	15179	9462
616	15197	9433
617	15211	9402
618	15224	9370
619	15241	9341
620	15258	9312
621	15291	9292
622	15334	9279
623	15380	9268
624	15400	9240
625	15418	9211
626	15450	9191
627	15484	9172
628	15511	9149
629	15528	9119
630	15543	9089
631	15560	9060
632	15578	9032
633	15594	9002
634	15611	8973
635	15625	8942
636	15636	8910
637	15646	8878
638	15658	8846
639	15673	8816
640	15685	8785
641	15697	8753
642	15709	8721
643	15730	8695
644	15744	8665
645	15760	8636
646	15774	8606
647	15785	8575
648	15797	8543
649	15810	8513
650	15823	8482
651	15835	8452
652	15847	8421
653	15868	8395
654	15882	8365
655	15903	8339
656	15917	8310
657	15929	8279
658	15947	8251
659	15962	8223
660	15978	8194
661	15995	8166
662	16013	8139
663	16028	8110
664	16044	8082
665	16059	8053
666	16075	8025
667	16091	7997
668	16107	7969
669	16120	7940
670	16135	7911
671	16151	7883
672	16175	7859
673	16194	7832
674	16214	7806
675	16233	7780
676	16255	7755
677	16275	7729
678	16290	7701
679	16313	7677
680	16324	7647
681	16339	7618
682	16354	7590
683	16369	7562
684	16384	7534
685	16394	7504
686	16409	7476
687	16421	7446
688	16441	7421
689	16458	7394
690	16474	7367
691	16488	7338
692	16501	7310
693	16512	7280
694	16521	7250
695	16532	7221
696	16541	7191
697	16555	7163
698	16588	7143
699	16621	7123
700	16638	7097
701	16682	7081
702	16706	7058
703	16735	7036
704	16754	7010
705	16780	6987
706	16813	6967
707	16885	6964
708	16908	6939
709	16933	6916
710	16963	6895
711	16984	6870
712	17011	6847
713	17033	6822
714	17061	6800
715	17085	6777
716	17116	6755
717	17164	6741
718	17189	6717
719	17215	6695
720	17234	6669
721	17264	6647
722	17285	6622
723	17306	6597
724	17325	6571
725	17343	6545
726	17362	6519
727	17380	6493
728	17407	6470
729	17433	6448
730	17473	6430
731	17495	6405
732	17511	6378
733	17531	6353
734	17563	6332
735	17599	6312
736	17620	6288
737	17645	6264
738	17666	6239
739	17692	6216
740	17712	6191
741	17739	6168
742	17793	6154
743	17844	6140
744	18189	6225
745	18380	6258
746	18432	6243
747	18496	6231
748	18603	6234
749	18704	6234
750	18798	6232
751	18828	6209
752	18862	6187
753	18896	6165
754	18915	6138
755	18937	6112
756	18960	6086
757	19012	6069
758	19096	6063
759	19272	6086
760	19320	6067
761	19413	6063
762	19530	6066
763	19611	6058
764	19687	6047
765	19803	6049
766	19896	6044
767	19955	6028
768	20008	6010
769	20088	6000
770	20198	5999
771	20215	5970
772	20236	5942
773	20252	5913
774	20270	5885
775	20289	5856
776	20306	5827
777	20324	5799
778	20358	5775
779	20381	5748
780	20397	5719
781	20414	5691
782	20432	5662
783	20457	5636
784	20477	5608
785	20491	5579
786	20506	5550
787	20524	5521
788	20540	5493
789	20557	5464
790	20579	5437
791	20606	5411
792	20629	5385
793	20650	5357
794	20670	5330
795	20690	5302
796	20706	5274
797	20722	5245
798	20749	5219
799	20767	5191
800	20784	5163
801	20815	5138
802	20839	5112
803	20869	5087
804	20893	5061
805	20915	5034
806	20936	5007
807	20955	4979
808	20983	4954
809	21014	4929
810	21033	4901
811	21051	4873
812	21068	4845
813	21095	4820
814	21110	4792
815	21127	4763
816	21144	4736
817	21163	4708
818	21212	4687
819	21297	4674
820	21394	4664
821	21533	4662
822	21551	4635
823	21575	4608
824	21598	4581
825	21623	4555
826	21640	4526
827	21658	4499
828	21679	4471
829	21698	4444
830	21719	4417
831	21735	4388
832	21750	4360
833	21765	4332
834	21782	4304
835	21798	4276
836	21812	4247
837	21832	4220
838	21848	4192
839	21865	4164
840	21881	4136
841	21897	4108
842	21911	4080
843	21926	4052
844	21942	4024
845	21956	3996
846	21974	3969
847	21991	3941
848	22007	3914
849	22050	3891
850	22078	3865
851	22107	3840
852	22152	3817
853	22202	3795
854	22289	3780
855	22390	3766
856	22424	3741
857	22470	3718
858	22519	3696
859	22599	3678
860	22656	3657
861	22884	3663
862	22920	3638
863	22956	3613
864	22991	3588
865	23024	3562
866	23065	3538
867	23215	3530
868	23267	3507
869	23297	3481
870	23314	3453
871	23333	3425
872	23367	3399
873	23427	3377
874	23466	3352
875	23502	3326
876	23528	3299
877	23544	3271
878	23561	3243
879	23576	3214
880	23591	3186
881	23604	3157
882	23618	3129
883	23634	3101
884	23651	3073
885	23675	3046
886	23689	3017
887	23710	2990
888	23725	2962
889	23737	2933
890	23752	2905
891	23767	2877
892	23781	2849
893	23797	2821
894	23812	2793
895	23826	2765
896	23843	2737
897	23858	2709
898	23872	2681
899	23885	2653
900	23900	2626
901	23917	2598
902	23931	2570
903	23947	2543
904	23962	2515
905	23977	2487
906	23992	2460
907	24011	2432
908	24028	2405
909	24044	2378
910	24063	2350
911	24079	2323
912	24093	2295
913	24114	2268
914	24128	2241
915	24142	2213
916	24157	2186
917	24171	2159
918	24188	2131
919	24204	2104
920	24219	2077
921	24237	2050
922	24254	2023
923	24267	1996
924	24282	1968
925	24296	1941
926	24311	1914
927	24328	1887
928	24343	1860
929	24360	1833
930	24376	1806
931	24393	1779
932	24409	1752
933	24425	1726
934	24442	1699
935	24457	1672
936	24472	1645
937	24489	1618
938	24506	1591
939	24521	1565
940	24537	1538
941	24548	1511
942	24563	1484
943	24579	1458
944	24592	1431
945	24608	1404
946	24622	1378
947	24637	1351
948	24652	1324
949	24668	1298
950	24682	1271
951	24696	1245
952	24711	1218
953	24727	1192
954	24742	1165
955	24761	1139
956	24775	1113
957	24790	1086
958	24805	1060
959	24820	1034
960	24834	1007
961	24847	981
962	24862	955
963	24875	928
964	24890	902
965	24907	876
966	24923	850
967	24942	824
968	24998	799
969	25065	775
970	25113	750
971	25146	724
972	25179	698
973	25199	672
974	25219	646
975	25244	620
976	25265	594
977	25294	569
978	25319	543
979	25349	517
980	25375	491
981	25398	465
982	25418	439
983	25441	413
984	25465	387
985	25486	361
986	25502	335
987	25516	309
988	25531	283
989	25545	258
990	25558	232
991	25569	206
992	25581	180
993	25596	154
994	25609	128
995	25625	102
996	25638	77
997	25650	51
998	25665	25
999	25681	0
